run_id,instance,seed,beam_width,iterations,temperature,cooling_mode,timestamp,week,worker_id,parent_worker_id,depth,candidate,temperature_at_event,current_penalty,local_best,global_best,cands_since_improve,worker_lifetime_pct,candidate_pct,time_since_previous_improvement,time_until_worker_exit
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-02T12:24:35+01:00,1,15,13,0,164368,1.065575,470,415,385,100000,32.87,32.87,769,2583
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-02T12:24:35+01:00,1,15,13,0,264368,0.067233,470,415,385,100000,52.87,52.87,769,1813
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-02T12:24:35+01:00,1,15,13,0,364368,0.004242,470,415,385,100000,72.87,72.87,769,1044
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-02T12:24:35+01:00,1,15,13,0,464368,0.000268,470,415,385,100000,92.87,92.87,769,274
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-02T12:24:35+01:00,1,7,5,0,185320,25.118864,860,400,385,100000,37.06,37.06,769,2422
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-02T12:24:35+01:00,1,7,5,0,285320,25.118864,745,400,385,100000,57.06,57.06,769,1652
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-02T12:24:35+01:00,1,7,5,0,385320,25.118864,720,400,385,100000,77.06,77.06,769,882
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-02T12:24:35+01:00,1,7,5,0,485320,25.118864,935,400,385,100000,97.06,97.06,769,113
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-02T12:24:35+01:00,1,19,17,0,150172,1.577379,510,470,385,100000,30.03,30.03,769,2692
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-02T12:24:35+01:00,1,19,17,0,250172,0.099526,510,470,385,100000,50.03,50.03,769,1923
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-02T12:24:35+01:00,1,19,17,0,350172,0.006280,510,470,385,100000,70.03,70.03,769,1153
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-02T12:24:35+01:00,1,19,17,0,450172,0.000396,510,470,385,100000,90.03,90.03,769,383
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-02T12:24:35+01:00,1,11,9,0,194343,25.118864,785,385,385,100000,38.87,38.87,769,2352
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-02T12:24:35+01:00,1,11,9,0,294343,25.118864,900,385,385,100000,58.87,58.87,769,1583
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-02T12:24:35+01:00,1,11,9,0,394343,25.118864,655,385,385,100000,78.87,78.87,769,813
