run_id,instance,seed,beam_width,iterations,temperature,cooling_mode,timestamp,week,worker_id,beam_path,candidate,elapsed_ms,temperature_at_event,current_penalty,previous_best,new_best,improvement,improvement_percent,event_type,branch_depth,seed_used,accepted_worse_count,hard_reject_count,soft_reject_count,discovery_number,cands_since_previous,time_since_previous_ms,improvement_per_10k,improvement_per_second,post_reheat_improved,post_reheat_best_delta,post_reheat_candidates_to_improve,post_reheat_spawned_branch,post_reheat_beat_global,post_reheat_on_winning_lineage
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:05:22+01:00,1,0,2,159591,270,0.000000,1160,1185,1160,25,2.1097,LOCAL_BEST,0,101,0,273600,47028,81,2,0,125000.0000,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:05:22+01:00,1,3,2,163878,395,0.000000,620,635,620,15,2.3622,LOCAL_BEST,1,101,0,254191,126000,82,4287,125,34.9895,120.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:05:22+01:00,1,0,2,165516,280,0.000000,1080,1160,1080,80,6.8966,LOCAL_BEST,0,101,0,283559,49683,83,1638,-115,488.4005,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:05:22+01:00,1,0,2,165519,280,0.000000,1065,1080,1065,15,1.3889,LOCAL_BEST,0,101,0,283561,49683,84,3,0,50000.0000,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:05:22+01:00,1,4,2,185209,456,0.000000,460,485,460,25,5.1546,LOCAL_BEST,2,101,0,280132,157433,85,19690,176,12.6968,142.0455,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:05:22+01:00,1,0,2,187214,316,0.000000,1000,1065,1000,65,6.1033,LOCAL_BEST,0,101,0,319213,59957,86,2005,-140,324.1895,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:05:22+01:00,1,3,2,194120,442,0.000000,590,620,590,30,4.8387,LOCAL_BEST,1,101,0,301477,149950,87,6906,126,43.4405,238.0952,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:05:22+01:00,1,0,2,195643,330,0.000000,960,1000,960,40,4.0000,LOCAL_BEST,0,101,0,333255,64111,88,1523,-112,262.6395,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:05:22+01:00,1,2,2,198001,405,0.000000,795,800,795,5,0.6250,LOCAL_BEST,1,101,0,318633,125245,89,2358,75,21.2044,66.6667,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:05:22+01:00,1,4,2,200847,479,0.000000,445,460,445,15,3.2609,LOCAL_BEST,2,101,0,302874,171001,90,2846,74,52.7056,202.7027,0,0,0,0,0,0
